
2026-04-24,09:35:46,66
2026-04-24,09:35:50,62
2026-04-24,09:35:55,3
2026-04-24,09:36:00,38
2026-04-24,09:36:05,33
2026-04-24,09:36:10,6
2026-04-24,09:36:15,37
2026-04-24,09:36:20,93
2026-04-24,09:36:26,65
2026-04-24,09:36:30,98
2026-04-24,09:36:35,53
2026-04-24,09:36:40,25
2026-04-24,09:36:45,50
2026-04-24,09:36:51,87
2026-04-24,09:36:56,91
2026-04-24,09:37:01,68
2026-04-24,09:37:06,91
2026-04-24,09:37:11,45
2026-04-24,09:37:16,18
2026-04-24,09:37:21,88
2026-04-24,09:37:26,35
2026-04-24,09:37:31,55
2026-04-24,09:37:36,78
2026-04-24,09:37:41,0
2026-04-24,09:37:46,83
2026-04-24,09:37:51,28
2026-04-24,09:37:56,21
2026-04-24,09:38:01,84
2026-04-24,09:38:06,50
2026-04-24,09:38:11,48
2026-04-24,09:38:32,0
2026-04-24,09:38:37,53
2026-04-24,09:38:42,50
2026-04-24,09:38:47,52
2026-04-24,09:38:52,48
2026-04-24,09:38:57,78
2026-04-24,09:39:02,60
2026-04-24,09:39:07,7
2026-04-24,09:39:12,96
2026-04-24,09:39:17,65
2026-04-24,09:39:22,61
2026-04-24,09:39:27,89
2026-04-24,09:39:32,26
2026-04-24,09:39:37,71
2026-04-24,09:39:42,84
2026-04-24,09:39:47,90
2026-04-24,09:39:52,5
2026-04-24,09:39:57,86
2026-04-24,09:40:02,65
2026-04-24,09:40:07,30
2026-04-24,09:40:12,78
2026-04-24,09:40:17,71
2026-04-24,09:40:22,21
2026-04-24,09:40:27,37
2026-04-24,09:40:32,36
2026-04-24,09:40:37,40
2026-04-24,09:40:42,98
2026-04-24,09:40:47,92
2026-04-24,09:40:52,88
2026-04-24,09:40:57,58
2026-04-24,09:41:03,44
2026-04-24,09:41:08,48
2026-04-24,09:41:13,50
2026-04-24,09:41:18,54
2026-04-24,09:41:23,12
2026-04-24,09:41:28,27
2026-04-24,09:41:33,3
2026-04-24,09:41:38,98
2026-04-24,09:41:43,33
2026-04-24,09:41:48,15
2026-04-24,09:41:53,0
2026-04-24,09:41:58,33
2026-04-24,09:42:03,90
2026-04-24,09:42:08,31
2026-04-24,09:42:13,1
2026-04-24,09:42:18,63
2026-04-24,09:42:23,95
2026-04-24,09:42:28,9
2026-04-24,09:42:33,90
2026-04-24,09:42:38,84
2026-04-24,09:42:43,1
2026-04-24,09:42:48,93
2026-04-24,09:42:53,13
2026-04-24,09:42:58,38
2026-04-24,09:43:03,34
2026-04-24,09:43:08,8
2026-04-24,09:43:13,54
2026-04-24,09:43:18,9
2026-04-24,09:43:23,15
2026-04-24,09:43:28,73
2026-04-24,09:43:33,9
2026-04-24,09:43:38,69
2026-04-24,09:43:43,90
2026-04-24,09:43:48,1
2026-04-24,09:43:53,57
2026-04-24,09:43:58,54
2026-04-24,09:44:03,68
2026-04-24,09:44:08,64
2026-04-24,09:44:13,51
2026-04-24,09:44:18,89
2026-04-24,09:44:23,99
2026-04-24,09:44:28,83
2026-04-24,09:44:33,90
2026-04-24,09:44:38,47
2026-04-24,09:44:43,92
2026-04-24,09:44:49,31
2026-04-24,09:44:53,25
2026-04-24,09:44:58,76
2026-04-24,09:45:03,56
2026-04-24,09:45:08,69
2026-04-24,09:45:13,8
2026-04-24,09:45:18,68
2026-04-24,09:45:23,65
2026-04-24,09:45:28,64
2026-04-24,09:45:33,53
2026-04-24,09:45:38,53
2026-04-24,09:45:43,19
2026-04-24,09:45:48,35
2026-04-24,09:45:53,19
2026-04-24,09:45:58,32
2026-04-24,09:46:03,5
2026-04-24,09:46:08,46
2026-04-24,09:46:13,9
2026-04-24,09:46:18,63
2026-04-24,09:46:23,35
2026-04-24,09:46:28,39
2026-04-24,09:46:33,95
2026-04-24,09:46:38,9
2026-04-24,09:46:43,24
2026-04-24,09:46:48,78
2026-04-24,09:46:53,6
2026-04-24,09:46:58,84
2026-04-24,09:47:03,76
2026-04-24,09:47:08,67
2026-04-24,09:47:13,84
2026-04-24,09:47:18,26
2026-04-24,09:47:23,12
2026-04-24,09:47:28,44
2026-04-24,09:47:33,95
2026-04-24,09:47:38,30
2026-04-24,09:47:43,86
2026-04-24,09:47:48,29
2026-04-24,09:47:53,25
2026-04-24,09:47:58,90
2026-04-24,09:48:03,5
2026-04-24,09:48:08,73
2026-04-24,09:48:13,49
2026-04-24,09:48:20,48
2026-04-24,09:48:23,65
2026-04-24,09:48:28,3
2026-04-24,09:48:33,87
2026-04-24,09:48:38,53
2026-04-24,09:48:43,36
2026-04-24,09:48:48,7
2026-04-24,09:48:53,72
2026-04-24,09:48:58,22
2026-04-24,09:49:03,97
2026-04-24,09:49:08,15
2026-04-24,09:49:13,83
2026-04-24,09:49:18,39
2026-04-24,09:49:23,91
2026-04-24,09:49:28,82
2026-04-24,09:49:33,16
2026-04-24,09:49:38,16
2026-04-24,09:49:43,63
2026-04-24,09:49:48,33
2026-04-24,09:49:53,44
2026-04-24,09:49:58,57
2026-04-24,09:50:03,15
2026-04-24,09:50:09,70
2026-04-24,09:50:13,39
2026-04-24,09:50:18,75
2026-04-24,09:50:23,14
2026-04-24,09:50:28,42
2026-04-24,09:50:33,76
2026-04-24,09:50:38,96
2026-04-24,09:50:43,25
2026-04-24,09:50:48,82
2026-04-24,09:50:53,47
2026-04-24,09:50:58,62
2026-04-24,09:51:03,89
2026-04-24,09:51:08,77
